zone_id,timestamp,consumption_kwh,temperature_c,humidity_percent
Zone_9,2025-01-01 08:00:00,2.47,25.6,35.5
Zone_10,2025-01-01 08:00:00,3.67,21.1,59.6
Zone_1,2025-01-01 09:00:00,3.0,23.7,56.0
Zone_2,2025-01-01 09:00:00,2.6,21.2,60.6
Zone_3,2025-01-01 09:00:00,2.73,35.5,54.9
Zone_4,2025-01-01 09:00:00,3.44,20.8,66.7
Zone_5,2025-01-01 09:00:00,2.14,18.7,61.0
Zone_6,2025-01-01 09:00:00,3.06,25.5,62.9
Zone_7,2025-01-01 09:00:00,3.36,26.2,43.4
Zone_8,2025-01-01 09:00:00,3.8,24.6,58.0
Zone_9,2025-01-01 09:00:00,2.82,27.7,41.7
Zone_10,2025-01-01 09:00:00,1.66,22.9,58.3
Zone_1,2025-01-01 10:00:00,4.04,20.6,72.9
Zone_2,2025-01-01 10:00:00,2.81,20.6,50.9
Zone_3,2025-01-01 10:00:00,3.08,29.2,56.8
Zone_4,2025-01-01 10:00:00,2.75,22.1,56.2
Zone_5,2025-01-01 10:00:00,4.49,28.8,51.8
Zone_6,2025-01-01 10:00:00,2.04,25.5,50.3
Zone_7,2025-01-01 10:00:00,3.92,23.0,75.7
Zone_8,2025-01-01 10:00:00,3.13,22.5,35.1
Zone_9,2025-01-01 10:00:00,2.31,19.0,65.4
Zone_10,2025-01-01 10:00:00,1.83,32.5,70.4
Zone_1,2025-01-01 11:00:00,2.42,27.0,58.8
Zone_2,2025-01-01 11:00:00,3.11,23.5,41.4
Zone_3,2025-01-01 11:00:00,3.04,26.5,63.4
Zone_4,2025-01-01 11:00:00,3.15,18.9,73.3
Zone_5,2025-01-01 11:00:00,2.2,21.1,57.5
Zone_6,2025-01-01 11:00:00,2.97,19.5,60.8
Zone_7,2025-01-01 11:00:00,2.57,14.6,71.3
Zone_8,2025-01-01 11:00:00,3.21,15.0,75.1
Zone_9,2025-01-01 11:00:00,3.19,25.0,71.5
Zone_10,2025-01-01 11:00:00,2.39,29.7,73.2
Zone_1,2025-01-01 12:00:00,3.34,23.0,51.7
Zone_2,2025-01-01 12:00:00,3.98,9.0,74.0
Zone_3,2025-01-01 12:00:00,3.07,23.9,56.0
Zone_4,2025-01-01 12:00:00,2.64,27.0,69.5
Zone_5,2025-01-01 12:00:00,3.29,19.0,47.6
Zone_6,2025-01-01 12:00:00,3.2,28.9,55.6
Zone_7,2025-01-01 12:00:00,2.16,29.2,48.3
Zone_8,2025-01-01 12:00:00,3.99,21.5,66.3
Zone_9,2025-01-01 12:00:00,3.29,31.9,68.1
Zone_10,2025-01-01 12:00:00,3.43,25.8,73.5
Zone_1,2025-01-01 13:00:00,2.62,25.3,55.3
Zone_2,2025-01-01 13:00:00,4.01,20.9,33.0
Zone_3,2025-01-01 13:00:00,3.59,21.7,75.5
Zone_4,2025-01-01 13:00:00,3.39,18.7,57.7
Zone_5,2025-01-01 13:00:00,2.55,34.3,78.9
Zone_6,2025-01-01 13:00:00,2.93,33.0,44.2
Zone_7,2025-01-01 13:00:00,2.35,34.4,58.0
Zone_8,2025-01-01 13:00:00,2.92,21.3,46.1
Zone_9,2025-01-01 13:00:00,3.16,30.5,44.7
Zone_10,2025-01-01 13:00:00,4.02,22.4,63.5
Zone_1,2025-01-01 14:00:00,4.64,14.8,61.9
Zone_2,2025-01-01 14:00:00,3.61,23.8,62.9
Zone_3,2025-01-01 14:00:00,4.05,21.8,60.2
Zone_4,2025-01-01 14:00:00,2.81,24.5,53.0
Zone_5,2025-01-01 14:00:00,2.55,32.5,80.3
Zone_6,2025-01-01 14:00:00,2.47,27.0,66.3
Zone_7,2025-01-01 14:00:00,2.89,20.2,65.7
Zone_8,2025-01-01 14:00:00,2.18,30.4,57.2
Zone_9,2025-01-01 14:00:00,2.86,23.7,50.3
Zone_10,2025-01-01 14:00:00,3.51,35.7,42.2
Zone_1,2025-01-01 15:00:00,3.32,26.9,61.4
Zone_2,2025-01-01 15:00:00,2.09,19.9,63.2
Zone_3,2025-01-01 15:00:00,2.59,31.0,69.8
Zone_4,2025-01-01 15:00:00,3.69,25.1,64.8
Zone_5,2025-01-01 15:00:00,3.79,20.0,62.5
Zone_6,2025-01-01 15:00:00,2.59,24.6,63.7
Zone_7,2025-01-01 15:00:00,3.8,23.8,71.8
Zone_8,2025-01-01 15:00:00,3.38,34.8,63.2
Zone_9,2025-01-01 15:00:00,2.68,28.3,54.7
Zone_10,2025-01-01 15:00:00,2.83,23.0,41.7
Zone_1,2025-01-01 16:00:00,3.39,28.6,68.8
Zone_2,2025-01-01 16:00:00,2.69,32.6,62.4
Zone_3,2025-01-01 16:00:00,3.95,35.1,66.0
Zone_4,2025-01-01 16:00:00,3.67,34.3,51.1
Zone_5,2025-01-01 16:00:00,1.78,15.4,92.0
Zone_6,2025-01-01 16:00:00,2.91,26.1,74.2
Zone_7,2025-01-01 16:00:00,2.88,16.3,42.2
Zone_8,2025-01-01 16:00:00,1.75,18.8,55.9
Zone_9,2025-01-01 16:00:00,3.35,23.9,56.1
Zone_10,2025-01-01 16:00:00,3.15,21.8,48.1
Zone_1,2025-01-01 17:00:00,3.11,21.1,64.9
Zone_2,2025-01-01 17:00:00,2.83,34.5,76.8
Zone_3,2025-01-01 17:00:00,2.82,29.8,51.3
Zone_4,2025-01-01 17:00:00,2.68,20.4,54.6
Zone_5,2025-01-01 17:00:00,3.59,23.7,53.7
Zone_6,2025-01-01 17:00:00,3.29,22.5,49.5
Zone_7,2025-01-01 17:00:00,2.88,21.6,65.5
Zone_8,2025-01-01 17:00:00,1.78,28.6,85.6
Zone_9,2025-01-01 17:00:00,3.25,25.1,71.9
Zone_10,2025-01-01 17:00:00,3.09,19.5,61.1
Zone_1,2025-01-01 18:00:00,4.54,19.4,84.9
Zone_2,2025-01-01 18:00:00,4.23,27.0,52.2
Zone_3,2025-01-01 18:00:00,4.69,16.4,57.9
Zone_4,2025-01-01 18:00:00,4.46,24.0,68.2
Zone_5,2025-01-01 18:00:00,3.57,20.4,54.5
Zone_6,2025-01-01 18:00:00,3.58,21.2,47.7
Zone_7,2025-01-01 18:00:00,4.51,28.1,67.6
Zone_8,2025-01-01 18:00:00,3.7,25.2,44.1
Zone_9,2025-01-01 18:00:00,3.86,22.5,70.5
Zone_10,2025-01-01 18:00:00,4.66,24.0,60.5
Zone_1,2025-01-01 19:00:00,3.55,21.5,71.1
Zone_2,2025-01-01 19:00:00,5.36,20.8,50.3
Zone_3,2025-01-01 19:00:00,3.93,29.4,62.0
Zone_4,2025-01-01 19:00:00,3.47,25.5,71.8
Zone_5,2025-01-01 19:00:00,3.27,30.5,75.1
Zone_6,2025-01-01 19:00:00,3.93,23.0,68.8
Zone_7,2025-01-01 19:00:00,3.5,23.2,61.6
Zone_8,2025-01-01 19:00:00,3.43,32.7,53.2
Zone_9,2025-01-01 19:00:00,3.62,31.9,67.0
Zone_10,2025-01-01 19:00:00,4.1,24.1,54.2
Zone_1,2025-01-01 20:00:00,4.63,29.5,69.6
Zone_2,2025-01-01 20:00:00,3.94,23.5,60.3
Zone_3,2025-01-01 20:00:00,3.5,22.7,75.2
Zone_4,2025-01-01 20:00:00,4.28,31.5,46.0
Zone_5,2025-01-01 20:00:00,4.43,17.7,73.1
Zone_6,2025-01-01 20:00:00,5.25,21.8,65.6
Zone_7,2025-01-01 20:00:00,3.73,21.9,46.0
Zone_8,2025-01-01 20:00:00,4.22,31.1,58.8
Zone_9,2025-01-01 20:00:00,4.31,20.3,39.2
Zone_10,2025-01-01 20:00:00,3.3,36.2,56.6
Zone_1,2025-01-01 21:00:00,3.24,25.9,37.8
Zone_2,2025-01-01 21:00:00,3.51,28.7,59.1
Zone_3,2025-01-01 21:00:00,5.26,27.3,51.0
Zone_4,2025-01-01 21:00:00,3.5,22.3,53.6
Zone_5,2025-01-01 21:00:00,4.23,23.8,61.0
Zone_6,2025-01-01 21:00:00,3.88,32.3,63.4
Zone_7,2025-01-01 21:00:00,4.64,26.3,40.4
Zone_8,2025-01-01 21:00:00,3.68,28.4,64.5
Zone_9,2025-01-01 21:00:00,4.9,17.0,59.6
Zone_10,2025-01-01 21:00:00,3.6,32.7,61.4
Zone_1,2025-01-01 22:00:00,2.78,24.9,55.3
Zone_2,2025-01-01 22:00:00,4.01,25.3,60.4
Zone_3,2025-01-01 22:00:00,4.26,25.7,36.5
Zone_4,2025-01-01 22:00:00,4.42,30.6,59.1
Zone_5,2025-01-01 22:00:00,3.61,36.7,53.8
Zone_6,2025-01-01 22:00:00,3.87,30.2,59.3
Zone_7,2025-01-01 22:00:00,3.53,27.6,56.4
Zone_8,2025-01-01 22:00:00,3.54,26.4,75.4
Zone_9,2025-01-01 22:00:00,3.78,28.7,80.6
Zone_10,2025-01-01 22:00:00,4.13,22.4,56.4
Zone_1,2025-01-01 23:00:00,4.11,27.8,63.2
Zone_2,2025-01-01 23:00:00,4.78,25.6,78.1
Zone_3,2025-01-01 23:00:00,4.19,20.4,45.2
Zone_4,2025-01-01 23:00:00,3.68,31.7,51.3
Zone_5,2025-01-01 23:00:00,4.73,20.5,47.7
Zone_6,2025-01-01 23:00:00,3.63,30.9,67.7
Zone_7,2025-01-01 23:00:00,4.57,23.4,64.8
Zone_8,2025-01-01 23:00:00,3.62,26.4,73.8
Zone_9,2025-01-01 23:00:00,3.78,18.3,89.6
Zone_10,2025-01-01 23:00:00,4.43,22.8,47.2
Zone_1,2025-01-02 00:00:00,1.4,25.1,67.4
Zone_2,2025-01-02 00:00:00,1.07,25.0,54.0
Zone_3,2025-01-02 00:00:00,2.07,27.4,56.3
Zone_4,2025-01-02 00:00:00,2.37,21.5,74.3
Zone_5,2025-01-02 00:00:00,1.93,25.7,70.3
Zone_6,2025-01-02 00:00:00,2.73,23.7,48.2
Zone_7,2025-01-02 00:00:00,2.32,26.9,65.0
Zone_8,2025-01-02 00:00:00,1.67,23.5,57.7
Zone_9,2025-01-02 00:00:00,2.31,32.7,61.5
Zone_10,2025-01-02 00:00:00,2.1,26.8,60.3
Zone_1,2025-01-02 01:00:00,2.5,30.0,51.9
Zone_2,2025-01-02 01:00:00,2.25,28.7,50.2
Zone_3,2025-01-02 01:00:00,1.75,24.2,53.2
Zone_4,2025-01-02 01:00:00,1.21,30.0,68.6
Zone_5,2025-01-02 01:00:00,1.85,24.1,59.2
Zone_6,2025-01-02 01:00:00,0.96,15.1,63.7
Zone_7,2025-01-02 01:00:00,3.0,25.9,57.4
Zone_8,2025-01-02 01:00:00,1.99,23.0,62.6
Zone_9,2025-01-02 01:00:00,2.33,28.8,53.8
Zone_10,2025-01-02 01:00:00,1.96,27.4,44.9
Zone_1,2025-01-02 02:00:00,1.5,20.3,65.1
Zone_2,2025-01-02 02:00:00,1.37,20.0,55.1
Zone_3,2025-01-02 02:00:00,2.39,17.9,37.7
Zone_4,2025-01-02 02:00:00,2.82,16.0,58.9
Zone_5,2025-01-02 02:00:00,3.35,16.0,54.4
Zone_6,2025-01-02 02:00:00,1.63,22.9,61.8
Zone_7,2025-01-02 02:00:00,3.04,28.3,73.5
Zone_8,2025-01-02 02:00:00,1.65,29.1,60.9
Zone_9,2025-01-02 02:00:00,1.91,29.8,56.8
Zone_10,2025-01-02 02:00:00,2.35,25.0,68.4
Zone_1,2025-01-02 03:00:00,2.24,19.4,52.0
Zone_2,2025-01-02 03:00:00,1.41,24.5,59.2
Zone_3,2025-01-02 03:00:00,1.56,18.2,54.4
Zone_4,2025-01-02 03:00:00,0.69,17.7,59.4
Zone_5,2025-01-02 03:00:00,1.65,35.1,36.2
Zone_6,2025-01-02 03:00:00,1.5,30.4,51.5
Zone_7,2025-01-02 03:00:00,2.78,22.0,60.0
Zone_8,2025-01-02 03:00:00,3.4,21.9,45.0
Zone_9,2025-01-02 03:00:00,2.43,32.8,73.6
Zone_10,2025-01-02 03:00:00,1.95,24.8,70.9
Zone_1,2025-01-02 04:00:00,1.95,35.3,64.3
Zone_2,2025-01-02 04:00:00,2.06,22.0,48.6
Zone_3,2025-01-02 04:00:00,3.15,23.1,63.0
Zone_4,2025-01-02 04:00:00,1.79,23.1,52.0
Zone_5,2025-01-02 04:00:00,1.53,20.1,58.5
Zone_6,2025-01-02 04:00:00,1.67,25.8,67.1
Zone_7,2025-01-02 04:00:00,2.18,31.0,62.9
Zone_8,2025-01-02 04:00:00,2.02,24.3,57.9
Zone_9,2025-01-02 04:00:00,1.85,27.0,51.5
Zone_10,2025-01-02 04:00:00,2.05,21.4,56.0
Zone_1,2025-01-02 05:00:00,1.82,29.7,69.4
Zone_2,2025-01-02 05:00:00,2.36,17.4,66.1
Zone_3,2025-01-02 05:00:00,1.13,23.7,62.6
Zone_4,2025-01-02 05:00:00,2.03,16.2,67.4
Zone_5,2025-01-02 05:00:00,2.03,27.4,62.5
Zone_6,2025-01-02 05:00:00,1.9,22.1,56.4
Zone_7,2025-01-02 05:00:00,2.06,21.6,63.9
Zone_8,2025-01-02 05:00:00,2.09,19.2,67.6
Zone_9,2025-01-02 05:00:00,2.57,20.3,46.1
Zone_10,2025-01-02 05:00:00,1.81,28.2,45.7
Zone_1,2025-01-02 06:00:00,2.98,20.7,56.0
Zone_2,2025-01-02 06:00:00,3.16,24.4,63.1
Zone_3,2025-01-02 06:00:00,1.89,38.4,43.2
Zone_4,2025-01-02 06:00:00,2.06,25.9,60.7
Zone_5,2025-01-02 06:00:00,2.22,31.0,56.0
Zone_6,2025-01-02 06:00:00,1.28,22.2,58.1
Zone_7,2025-01-02 06:00:00,0.75,23.8,53.9
Zone_8,2025-01-02 06:00:00,2.39,32.6,37.5
Zone_9,2025-01-02 06:00:00,1.5,16.9,60.6
Zone_10,2025-01-02 06:00:00,2.44,16.2,62.1
Zone_1,2025-01-02 07:00:00,3.45,25.0,55.0
Zone_2,2025-01-02 07:00:00,2.58,30.6,58.6
Zone_3,2025-01-02 07:00:00,2.41,27.3,46.6
Zone_4,2025-01-02 07:00:00,2.54,23.2,59.8
Zone_5,2025-01-02 07:00:00,2.45,29.7,73.0
Zone_6,2025-01-02 07:00:00,2.45,14.9,50.8
Zone_7,2025-01-02 07:00:00,3.63,21.3,65.4
Zone_8,2025-01-02 07:00:00,3.28,17.8,67.7
Zone_9,2025-01-02 07:00:00,3.48,24.3,47.2
Zone_10,2025-01-02 07:00:00,2.79,16.6,56.6
Zone_1,2025-01-02 08:00:00,2.97,28.8,63.0
Zone_2,2025-01-02 08:00:00,3.28,19.1,58.5
Zone_3,2025-01-02 08:00:00,3.62,18.9,51.5
Zone_4,2025-01-02 08:00:00,2.45,35.6,62.6
Zone_5,2025-01-02 08:00:00,3.08,30.7,60.2
Zone_6,2025-01-02 08:00:00,2.39,19.5,52.3
Zone_7,2025-01-02 08:00:00,2.79,18.7,55.4
Zone_8,2025-01-02 08:00:00,3.64,28.5,56.5
Zone_9,2025-01-02 08:00:00,3.5,25.6,60.2
Zone_10,2025-01-02 08:00:00,2.25,18.8,61.6
Zone_1,2025-01-02 09:00:00,1.95,23.0,67.8
Zone_2,2025-01-02 09:00:00,2.62,20.3,68.2
Zone_3,2025-01-02 09:00:00,2.64,26.0,56.0
Zone_4,2025-01-02 09:00:00,2.78,29.5,64.6
Zone_5,2025-01-02 09:00:00,2.81,18.5,56.3
Zone_6,2025-01-02 09:00:00,3.41,31.2,74.6
Zone_7,2025-01-02 09:00:00,3.31,23.2,65.7
Zone_8,2025-01-02 09:00:00,2.32,20.8,63.8
Zone_9,2025-01-02 09:00:00,2.5,19.7,54.7
Zone_10,2025-01-02 09:00:00,2.23,28.8,66.5
Zone_1,2025-01-02 10:00:00,3.33,25.9,62.7
Zone_2,2025-01-02 10:00:00,3.19,29.1,78.1
Zone_3,2025-01-02 10:00:00,2.64,27.0,53.6
Zone_4,2025-01-02 10:00:00,3.22,24.9,79.2
Zone_5,2025-01-02 10:00:00,3.04,26.4,48.4
Zone_6,2025-01-02 10:00:00,2.92,26.3,57.6
Zone_7,2025-01-02 10:00:00,2.82,24.8,67.0
Zone_8,2025-01-02 10:00:00,3.5,25.8,44.6
Zone_9,2025-01-02 10:00:00,2.75,22.6,55.3
Zone_10,2025-01-02 10:00:00,3.16,20.8,55.1
Zone_1,2025-01-02 11:00:00,2.4,33.6,71.1
Zone_2,2025-01-02 11:00:00,2.38,23.5,62.1
Zone_3,2025-01-02 11:00:00,2.68,27.1,48.4
Zone_4,2025-01-02 11:00:00,3.55,23.1,46.6
Zone_5,2025-01-02 11:00:00,2.87,25.0,60.2
Zone_6,2025-01-02 11:00:00,3.47,16.9,62.3
Zone_7,2025-01-02 11:00:00,2.42,23.8,47.8
Zone_8,2025-01-02 11:00:00,3.41,18.3,62.1
Zone_9,2025-01-02 11:00:00,3.34,33.4,67.8
Zone_10,2025-01-02 11:00:00,2.87,32.7,65.4
Zone_1,2025-01-02 12:00:00,3.26,17.1,36.6
Zone_2,2025-01-02 12:00:00,2.58,30.9,92.2
Zone_3,2025-01-02 12:00:00,3.82,22.2,51.1
Zone_4,2025-01-02 12:00:00,2.3,25.2,63.2
Zone_5,2025-01-02 12:00:00,2.72,33.7,50.2
Zone_6,2025-01-02 12:00:00,3.25,24.5,52.1
Zone_7,2025-01-02 12:00:00,2.68,19.9,60.3
Zone_8,2025-01-02 12:00:00,3.74,25.5,58.3
Zone_9,2025-01-02 12:00:00,2.18,25.4,55.4
Zone_10,2025-01-02 12:00:00,2.52,23.6,70.2
Zone_1,2025-01-02 13:00:00,3.6,27.1,54.5
Zone_2,2025-01-02 13:00:00,3.57,29.0,69.2
Zone_3,2025-01-02 13:00:00,3.58,27.4,58.4
Zone_4,2025-01-02 13:00:00,2.46,29.5,55.0
Zone_5,2025-01-02 13:00:00,3.14,23.9,43.0
Zone_6,2025-01-02 13:00:00,3.18,20.4,30.7
Zone_7,2025-01-02 13:00:00,2.3,16.4,43.8
Zone_8,2025-01-02 13:00:00,3.61,26.1,70.9
Zone_9,2025-01-02 13:00:00,3.24,25.2,65.6
Zone_10,2025-01-02 13:00:00,3.49,21.8,66.8
Zone_1,2025-01-02 14:00:00,4.14,22.1,59.6
Zone_2,2025-01-02 14:00:00,1.86,20.2,56.5
Zone_3,2025-01-02 14:00:00,3.25,26.7,61.5
Zone_4,2025-01-02 14:00:00,3.2,18.4,61.3
Zone_5,2025-01-02 14:00:00,4.31,22.5,72.6
Zone_6,2025-01-02 14:00:00,3.35,30.5,50.0
Zone_7,2025-01-02 14:00:00,2.07,19.3,65.9
Zone_8,2025-01-02 14:00:00,2.44,24.4,51.7
Zone_9,2025-01-02 14:00:00,2.75,33.1,55.3
Zone_10,2025-01-02 14:00:00,2.8,27.8,64.8
Zone_1,2025-01-02 15:00:00,3.86,27.9,62.0
Zone_2,2025-01-02 15:00:00,2.77,25.3,67.6
Zone_3,2025-01-02 15:00:00,2.98,24.3,43.6
Zone_4,2025-01-02 15:00:00,2.57,23.7,67.6
Zone_5,2025-01-02 15:00:00,3.05,19.4,60.9
Zone_6,2025-01-02 15:00:00,4.01,22.8,48.1
Zone_7,2025-01-02 15:00:00,2.85,17.0,49.1
Zone_8,2025-01-02 15:00:00,3.73,18.8,38.8
Zone_9,2025-01-02 15:00:00,3.66,34.9,53.6
Zone_10,2025-01-02 15:00:00,2.66,19.6,60.8
Zone_1,2025-01-02 16:00:00,3.26,29.6,46.6
Zone_2,2025-01-02 16:00:00,3.25,26.9,81.8
Zone_3,2025-01-02 16:00:00,3.62,27.9,66.4
Zone_4,2025-01-02 16:00:00,2.4,24.0,77.9
Zone_5,2025-01-02 16:00:00,3.44,26.0,50.0
Zone_6,2025-01-02 16:00:00,3.29,21.6,53.5
Zone_7,2025-01-02 16:00:00,3.0,24.7,61.9
Zone_8,2025-01-02 16:00:00,3.15,29.4,54.5
Zone_9,2025-01-02 16:00:00,3.07,19.3,49.3
Zone_10,2025-01-02 16:00:00,2.43,28.9,42.9
Zone_1,2025-01-02 17:00:00,2.08,26.7,55.3
Zone_2,2025-01-02 17:00:00,2.67,17.0,51.8
Zone_3,2025-01-02 17:00:00,3.37,7.7,73.0
Zone_4,2025-01-02 17:00:00,3.81,21.1,58.3
Zone_5,2025-01-02 17:00:00,2.57,21.0,53.3
Zone_6,2025-01-02 17:00:00,3.19,34.1,53.3
Zone_7,2025-01-02 17:00:00,2.82,24.1,51.5
Zone_8,2025-01-02 17:00:00,2.41,28.9,45.7
Zone_9,2025-01-02 17:00:00,2.44,20.4,71.9
Zone_10,2025-01-02 17:00:00,3.16,29.0,60.9
Zone_1,2025-01-02 18:00:00,3.64,28.6,34.6
Zone_2,2025-01-02 18:00:00,4.31,22.5,74.2
Zone_3,2025-01-02 18:00:00,3.72,26.4,50.3
Zone_4,2025-01-02 18:00:00,3.45,28.5,66.4
Zone_5,2025-01-02 18:00:00,3.06,35.4,66.8
Zone_6,2025-01-02 18:00:00,3.91,23.2,62.3
Zone_7,2025-01-02 18:00:00,2.84,30.3,71.3
Zone_8,2025-01-02 18:00:00,3.38,24.8,43.8
Zone_9,2025-01-02 18:00:00,3.92,26.4,64.6
Zone_10,2025-01-02 18:00:00,4.15,31.1,60.6
Zone_1,2025-01-02 19:00:00,3.46,23.3,50.6
Zone_2,2025-01-02 19:00:00,3.26,29.9,70.4
Zone_3,2025-01-02 19:00:00,5.22,25.3,56.3
Zone_4,2025-01-02 19:00:00,3.65,25.6,56.9
Zone_5,2025-01-02 19:00:00,3.97,23.4,60.5
Zone_6,2025-01-02 19:00:00,2.54,21.2,48.4
Zone_7,2025-01-02 19:00:00,3.93,31.6,56.4
Zone_8,2025-01-02 19:00:00,3.74,27.5,62.7
Zone_9,2025-01-02 19:00:00,3.96,23.4,45.1
Zone_10,2025-01-02 19:00:00,4.11,24.2,57.3
Zone_1,2025-01-02 20:00:00,4.1,20.0,47.9
Zone_2,2025-01-02 20:00:00,3.83,25.6,77.5
Zone_3,2025-01-02 20:00:00,4.21,29.1,59.6
Zone_4,2025-01-02 20:00:00,3.53,12.1,55.6
Zone_5,2025-01-02 20:00:00,4.67,23.7,60.7
Zone_6,2025-01-02 20:00:00,4.97,23.7,50.5
Zone_7,2025-01-02 20:00:00,4.53,19.5,55.7
Zone_8,2025-01-02 20:00:00,4.57,20.7,45.2
Zone_9,2025-01-02 20:00:00,5.03,23.9,57.9
